__run_id,__done,benchmark,compilation,cold_start_energy,warm_start_energy,cold_start_cpu_util,warm_start_cpu_util,cold_start_duration,warm_start_duration,cold_start_memory_util,warm_start_memory_util
run_10_repetition_10,DONE,mandlebrot/original.py,numba,1.353,0.217,65.788,100.0,1098,210,146731008,146731008
run_11_repetition_10,DONE,mandlebrot/original.py,cython,2.016,1.997,60.372,97.222,884,495,13656064,13651968
run_12_repetition_10,DONE,nbody/original.py,original,4.417,4.477,78.609,100.0,1463,1293,10153984,10153984
run_13_repetition_10,DONE,nbody/original.py,numba,1.571,0.227,72.758,93.75,1197,210,152719360,152719360
run_14_repetition_10,DONE,nbody/original.py,cython,4.661,4.993,80.761,99.098,1558,1312,10440704,10440704
run_15_repetition_10,DONE,recur_matrix_multiplication/original.py,original,2.911,3.068,75.566,100.0,1349,1084,10018816,10215424
run_16_repetition_10,DONE,recur_matrix_multiplication/original.py,numba,3.423,1.481,86.882,100.0,2299,495,150773760,150773760
run_17_repetition_10,DONE,recur_matrix_multiplication/original.py,cython,1.324,1.48,54.905,97.143,684,514,24948736,25210880
run_18_repetition_10,DONE,richards/original.py,original,4.652,3.964,80.563,100.0,1520,1084,25772032,25751552
run_19_repetition_10,DONE,richards/original.py,numba,1.079,0.097,68.966,100.0,1083,172,147034112,147230720
run_20_repetition_10,DONE,richards/original.py,cython,5.722,5.751,85.294,99.609,1957,1369,25427968,25391104
run_21_repetition_10,DONE,spectral_norm/original.py,original,10.037,9.139,88.963,99.333,2812,2536,77901824,77901824
run_22_repetition_10,DONE,spectral_norm/original.py,numba,1.684,0.163,79.697,94.755,1558,229,357203968,440119296
run_23_repetition_10,DONE,spectral_norm/original.py,cython,8.984,8.193,87.746,99.023,2413,2205,80867328,80867328
run_0_repetition_11,DONE,binary_trees/original.py,original,3.935,4.364,86.096,100.0,2261,1901,439812096,477163520
run_1_repetition_11,DONE,binary_trees/original.py,numba,8.46,1.489,95.719,97.727,7246,836,2927869952,4467605504
run_2_repetition_11,DONE,binary_trees/original.py,cython,2.533,2.659,80.636,99.231,1520,1217,438390784,468787200
run_3_repetition_11,DONE,fannkuch/original.py,original,1.45,1.285,65.239,100.0,893,419,25194496,25194496
run_4_repetition_11,DONE,fannkuch/original.py,numba,1.424,0.102,71.03,100.0,1102,210,151420928,151420928
run_5_repetition_11,DONE,fannkuch/original.py,cython,1.489,0.964,54.071,100.0,722,325,25583616,25513984
run_6_repetition_11,DONE,insertionsort/original.py,original,1.895,1.909,63.426,98.276,874,533,16384000,16384000
run_7_repetition_11,DONE,insertionsort/original.py,numba,1.962,0.551,78.247,100.0,1482,362,147570688,147570688
run_8_repetition_11,DONE,insertionsort/original.py,cython,1.728,2.029,60.88,97.667,798,552,16646144,16646144
run_9_repetition_11,DONE,mandlebrot/original.py,original,1.718,2.089,61.488,97.5,798,590,13451264,13152256
run_10_repetition_11,DONE,mandlebrot/original.py,numba,1.157,0.279,68.376,90.909,1007,191,146833408,146833408
run_11_repetition_11,DONE,mandlebrot/original.py,cython,1.518,1.451,53.596,100.0,646,476,13578240,13545472
run_12_repetition_11,DONE,nbody/original.py,original,4.542,4.836,79.653,100.0,1463,1293,10022912,10022912
run_13_repetition_11,DONE,nbody/original.py,numba,1.474,0.212,73.663,92.063,1178,210,152547328,152547328
run_14_repetition_11,DONE,nbody/original.py,cython,4.985,4.85,81.177,100.0,1482,1350,10715136,10715136
run_15_repetition_11,DONE,recur_matrix_multiplication/original.py,original,3.33,3.155,75.279,98.5,1197,1122,9834496,10227712
run_16_repetition_11,DONE,recur_matrix_multiplication/original.py,numba,3.408,1.543,86.999,98.846,2280,476,151101440,151101440
run_17_repetition_11,DONE,recur_matrix_multiplication/original.py,cython,1.304,1.474,55.298,97.407,665,495,25251840,25300992
run_18_repetition_11,DONE,richards/original.py,original,4.838,3.923,78.359,100.0,1444,1141,25772032,25731072
run_19_repetition_11,DONE,richards/original.py,numba,1.35,0.095,67.75,95.0,988,153,147079168,147275776
run_20_repetition_11,DONE,richards/original.py,cython,6.152,5.527,82.437,100.0,1787,1388,25481216,25419776
run_21_repetition_11,DONE,spectral_norm/original.py,original,10.011,9.957,88.841,100.0,2907,2575,76890112,76890112
run_22_repetition_11,DONE,spectral_norm/original.py,numba,1.86,0.182,78.88,96.337,1482,229,357875712,440696832
run_23_repetition_11,DONE,spectral_norm/original.py,cython,8.668,7.534,87.51,100.0,2546,2357,80011264,80011264
run_0_repetition_12,DONE,binary_trees/original.py,original,4.163,3.852,85.83,99.584,2242,1940,448221184,479006720
run_1_repetition_12,DONE,binary_trees/original.py,numba,8.685,1.214,95.892,95.949,7456,895,2929303552,4466188288
run_2_repetition_12,DONE,binary_trees/original.py,cython,2.931,2.03,78.473,100.0,1708,1427,439812096,467755008
